material,model,ds,yhat,lo,hi,yhat_spend
HOSE Pipe & Accessories,NHITS,2025-02-01,0.6211692690849304,0.5560298562049866,0.704555332660675,621169.2690849304
HOSE Pipe & Accessories,TCN,2024-12-01,0.27095865206016506,0.0,1.6431766714355647,270958.65206016507
HOSE Pipe & Accessories,TCN,2025-01-01,0.2051678005552292,0.0,1.3233348366753528,205167.80055522922
HOSE Pipe & Accessories,TCN,2025-02-01,0.21581282028889268,0.0,1.268251655848467,215812.8202888927
O-RING,Naive,2024-12-01,0.0272238,,,27223.8
O-RING,Naive,2025-01-01,0.0272238,,,27223.8
O-RING,Naive,2025-02-01,0.0272238,,,27223.8
O-RING,CrostonSBA,2024-12-01,0.10596428865333443,,,105964.28865333443
O-RING,CrostonSBA,2025-01-01,0.10596428865333443,,,105964.28865333443
O-RING,CrostonSBA,2025-02-01,0.10596428865333443,,,105964.28865333443
O-RING,ETS,2024-12-01,0.15289844024313154,0.0,0.5032627587922696,152898.44024313154
O-RING,ETS,2025-01-01,0.15289844024313154,0.0,0.5032627605440911,152898.44024313154
O-RING,ETS,2025-02-01,0.15289844024313154,0.0,0.5032627622959127,152898.44024313154
O-RING,ARIMA,2024-12-01,0.1528936633037247,0.0,0.5032343985550652,152893.6633037247
O-RING,ARIMA,2025-01-01,0.1528936633037247,0.0,0.5032343985550652,152893.6633037247
O-RING,ARIMA,2025-02-01,0.1528936633037247,0.0,0.5032343985550652,152893.6633037247
O-RING,AutoTS,2024-12-01,0.07745397122663114,0.03590550996232956,0.15654693649127732,77453.97122663114
O-RING,AutoTS,2025-01-01,0.03398585350863377,0.01904911131353066,0.1297226618346678,33985.85350863377
O-RING,AutoTS,2025-02-01,0.07788671899381763,0.04628930001021332,0.15288852614724613,77886.71899381763
O-RING,MLForecast,2024-12-01,0.0,0.0,0.08712609364348334,0.0
O-RING,MLForecast,2025-01-01,0.17082938497384959,0.15151638337851636,0.1901423865691828,170829.38497384958
O-RING,MLForecast,2025-02-01,0.5359024836543025,0.4047658739632425,0.6670390933453625,535902.4836543024
O-RING,NeuralProphet,2024-12-01,0.07084909826517105,0.021648800000548363,0.07084909826517105,70849.09826517105
O-RING,NeuralProphet,2025-01-01,0.0712621733546257,0.02039303071796894,0.09619662910699844,71262.1733546257
O-RING,NeuralProphet,2025-02-01,0.14618584513664246,0.03145548701286316,0.343131422996521,146185.84513664246
O-RING,NBEATSx,2024-12-01,0.07300806045532227,0.07300806045532227,0.0813925489783287,73008.06045532227
O-RING,NBEATSx,2025-01-01,0.0,0.0,0.0,0.0
O-RING,NBEATSx,2025-02-01,0.13289223611354828,0.13289223611354828,0.1456334888935089,132892.23611354828
O-RING,NHITS,2024-12-01,0.14304868876934052,0.13026754558086395,0.1704404354095459,143048.68876934052
O-RING,NHITS,2025-01-01,0.014059484004974365,0.006827639881521463,0.028690442442893982,14059.484004974365
O-RING,NHITS,2025-02-01,0.1695234775543213,0.1695234775543213,0.1838020533323288,169523.4775543213
O-RING,TCN,2024-12-01,0.04892546113538901,0.0,0.47830732682548466,48925.46113538901
O-RING,TCN,2025-01-01,0.08979283390895355,0.0,0.5912114569747696,89792.83390895356
O-RING,TCN,2025-02-01,0.07591265722030381,0.0,0.5188291109638782,75912.65722030381
RING SEAL,Naive,2024-12-01,9.68787953,,,9687879.53
RING SEAL,Naive,2025-01-01,9.68787953,,,9687879.53
RING SEAL,Naive,2025-02-01,9.68787953,,,9687879.53
RING SEAL,CrostonSBA,2024-12-01,5.85609880527793,,,5856098.80527793
RING SEAL,CrostonSBA,2025-01-01,5.85609880527793,,,5856098.80527793
RING SEAL,CrostonSBA,2025-02-01,5.85609880527793,,,5856098.80527793
RING SEAL,ETS,2024-12-01,6.4979410764744525,2.87625334584134,10.119628807107565,6497941.076474452
RING SEAL,ETS,2025-01-01,6.4979410764744525,2.876253327732902,10.119628825216003,6497941.076474452
RING SEAL,ETS,2025-02-01,6.4979410764744525,2.876253309624463,10.119628843324442,6497941.076474452
RING SEAL,ARIMA,2024-12-01,6.497863709441976,2.608147391533937,10.387580027350015,6497863.709441976
RING SEAL,ARIMA,2025-01-01,6.497863709441976,2.6081467483323637,10.38758067055159,6497863.709441976
RING SEAL,ARIMA,2025-02-01,6.497863709441976,2.608146105130897,10.387581313753055,6497863.709441976
RING SEAL,AutoTS,2024-12-01,9.68787953,8.85698659416326,10.6639783348362,9687879.53
RING SEAL,AutoTS,2025-01-01,8.783148440316065,7.833699189799626,10.01423524298901,8783148.440316064
RING SEAL,AutoTS,2025-02-01,7.778376569327126,6.654635739105286,9.329926864009874,7778376.569327125
RING SEAL,MLForecast,2024-12-01,9.834025462567814,,,9834025.462567814
RING SEAL,MLForecast,2025-01-01,7.736408394575117,,,7736408.394575117
RING SEAL,MLForecast,2025-02-01,7.736408394575117,,,7736408.394575117
RING SEAL,NeuralProphet,2024-12-01,8.775250434875488,8.602280616760254,9.795278549194336,8775250.434875488
RING SEAL,NeuralProphet,2025-01-01,9.541732788085938,9.419002532958984,10.348190307617188,9541732.788085938
RING SEAL,NeuralProphet,2025-02-01,10.308213233947754,10.235723495483398,10.901103019714355,10308213.233947754
RING SEAL,NBEATSx,2024-12-01,6.59347677230835,6.4187912940979,6.876107692718506,6593476.77230835
RING SEAL,NBEATSx,2025-01-01,9.053755760192871,8.521434783935547,9.053755760192871,9053755.760192871
RING SEAL,NBEATSx,2025-02-01,7.197432041168213,6.97186803817749,7.375635623931885,7197432.041168213
RING SEAL,NHITS,2024-12-01,8.41938304901123,8.408781051635742,8.99992847442627,8419383.04901123
RING SEAL,NHITS,2025-01-01,8.461640357971191,8.114394187927246,8.957953453063965,8461640.357971191
RING SEAL,NHITS,2025-02-01,8.606335639953613,8.315587043762207,9.182770729064941,8606335.639953613
RING SEAL,TCN,2024-12-01,6.06305612632634,4.6684895018086685,8.90204030545705,6063056.12632634
RING SEAL,TCN,2025-01-01,5.846548318627343,4.614780060616791,9.4158261804349,5846548.318627343
RING SEAL,TCN,2025-02-01,5.8995261090297815,3.791443394320682,9.969815621355428,5899526.109029781
