material,model,fold,origin,seconds,status,MAE,RMSE,MAPE,sMAPE,MASE,Bias,PICP
O-RING,AutoTS,5,2024-03-01,93.38271951675415,ok,0.07643949759710915,0.07854524262754586,249.1674821820026,82.20923264760094,0.3458918365615985,0.023039371295883567,0.3333333333333333
O-RING,CrostonSBA,0,2024-08-01,0.001994609832763672,ok,0.12016903782745769,0.12291189101906189,493.33486501228407,124.48890024296632,0.5697028211891467,0.016599646815706443,
O-RING,CrostonSBA,1,2024-07-01,0.0009968280792236328,ok,0.1292436378274577,0.13062340493868638,567.1496584996758,148.922113315934,0.6110845014243551,0.02567424681570644,
O-RING,CrostonSBA,2,2024-06-01,0.0009982585906982422,ok,0.1137508145203872,0.12029486003815563,46.81049250509563,108.33334348427492,0.5356388729506522,-0.036166176894494945,
O-RING,CrostonSBA,3,2024-05-01,0.0009970664978027344,ok,0.09759637035068174,0.10238907267796034,401.6416075671999,131.48197381456012,0.4572167488740457,0.06118457771871185,
O-RING,CrostonSBA,4,2024-04-01,0.0009980201721191406,ok,0.07156976799451947,0.07626457836349945,269.82465515872997,76.30462497615783,0.3290101791717714,0.0006912960164415782,
O-RING,CrostonSBA,5,2024-03-01,0.0009970664978027344,ok,0.06597334458372277,0.0717711230713769,261.63419041062514,73.80815920739416,0.29853206836144963,0.004383632915498342,
O-RING,ETS,0,2024-08-01,0.15826892852783203,ok,0.13156486333560846,0.13195119012969928,641.7258843595223,123.87901632539418,0.623728667273514,0.050787123340158696,1.0
O-RING,ETS,1,2024-07-01,0.16042661666870117,ok,0.14159950604089766,0.14261783511311724,740.4086070822424,143.31779142381933,0.669505013983395,0.06274185145602633,1.0
O-RING,ETS,2,2024-06-01,0.2308814525604248,ok,0.09988300515381911,0.11485828094266476,27.795853194727506,89.38947929461798,0.4703370304036547,0.005437251205209326,1.0
O-RING,ETS,3,2024-05-01,0.14818692207336426,ok,0.1090697714516079,0.12601683938030936,511.0828473561504,126.26402620419881,0.5109670177728185,0.09560478102149039,1.0
O-RING,ETS,4,2024-04-01,0.23275470733642578,ok,0.059010706105157816,0.08536948172242728,342.34912805471674,61.74993602242319,0.2712754775200256,0.038368481684526536,1.0
O-RING,ETS,5,2024-03-01,0.25714850425720215,ok,0.0524672620120335,0.08454618118845166,338.718219478911,57.92883201177944,0.2374164952306959,0.04490188063056614,1.0
O-RING,MLForecast,0,2024-08-01,0.2117774486541748,ok,0.0465196937089301,0.0634059463410456,78.03184228113332,59.09292941801792,0.22054267243851466,-0.025030136022953686,1.0
O-RING,MLForecast,1,2024-07-01,0.20592713356018066,ok,0.30477536137326333,0.3062615630956222,1732.581621717942,196.26010580079821,1.4410264434048683,0.12031402803992998,0.3333333333333333
O-RING,MLForecast,2,2024-06-01,0.2688605785369873,ok,0.18914233185827736,0.20209111299913646,78.28396614290345,159.62588803062079,0.8906484396704525,-0.06355403208285566,1.0
O-RING,MLForecast,3,2024-05-01,0.33956408500671387,ok,0.0458610917111546,0.05974155312535517,56.453405005970225,137.9323997175825,0.21484876104147127,0.020646927405458097,1.0
O-RING,MLForecast,4,2024-04-01,0.28746485710144043,ok,0.16434213262350775,0.17150944355329253,332.84156507997005,126.8688710499628,0.7554898669515288,0.06463351889309499,1.0
O-RING,MLForecast,5,2024-03-01,0.2355945110321045,ok,0.43690799441510214,0.49832971114881003,669.6971181462469,138.788071542149,1.9770264502941943,0.43690799441510214,0.6666666666666666
O-RING,NBEATSx,0,2024-08-01,28.439428091049194,ok,0.1704401433292071,0.21280430044893076,449.233565587454,155.55603257601055,0.8080303566876456,0.044269095957342776,0.0
O-RING,NBEATSx,1,2024-07-01,34.8613018989563,ok,0.24926153872187928,0.387761707798268,371.6763595057635,119.67827015628878,1.1785482494502098,0.24650800482320787,0.0
O-RING,NBEATSx,2,2024-06-01,44.75069260597229,ok,0.30839205492040317,0.43520403159255727,47.64394799474434,116.82951328088016,1.4521810100524113,0.1839295952667713,0.0
O-RING,NBEATSx,3,2024-05-01,48.88808560371399,ok,0.3354943013427734,0.4827789627848732,520.0211259486946,129.9223231659091,1.5717143288683866,0.3110397238857269,0.0
O-RING,NBEATSx,4,2024-04-01,33.1939594745636,ok,0.16268100850646497,0.1901279374251628,696.5606152996809,121.72330508979992,0.7478535875742274,0.027965391107233378,0.0
O-RING,NBEATSx,5,2024-03-01,28.827245235443115,ok,0.14342770439338684,0.1747238321397658,625.0867448144053,129.24576776742222,0.6490161977244449,0.027054086264928195,0.0
O-RING,NHITS,0,2024-08-01,44.21444129943848,ok,0.19030789383481342,0.22897037646189222,414.31918824024115,189.27289739265623,0.9022202887896048,-0.001019439498519903,0.0
O-RING,NHITS,1,2024-07-01,28.270038843154907,ok,0.22835671955124534,0.3395063777989695,299.8784826664993,121.72848819329283,1.0797069353631872,0.20078707988945643,0.0
O-RING,NHITS,2,2024-06-01,28.16064977645874,ok,0.34513271993399464,0.4655249776254642,61.08213759756025,134.68184669070553,1.6251883725254987,0.17792875423033236,0.0
O-RING,NHITS,3,2024-05-01,29.938152074813843,ok,0.27051257255058286,0.40067326566085565,409.5856344441368,122.0665739801221,1.2672897414803086,0.2638726114557902,0.0
O-RING,NHITS,4,2024-04-01,29.26700496673584,ok,0.2458185379643917,0.31457335122553337,1242.9831554898622,114.85089412540124,1.130041405549905,0.1571774843363285,0.0
O-RING,NHITS,5,2024-03-01,28.47275471687317,ok,0.11710018799686432,0.12515771932525754,351.4062618381921,130.92311903810713,0.529883114897339,0.009572187996864323,0.0
O-RING,Naive,0,2024-08-01,0.001508951187133789,ok,0.10473826666666668,0.1606296647067824,100.0,200.0,0.49654792187099556,-0.10473826666666668,
O-RING,Naive,1,2024-07-01,0.0009968280792236328,ok,0.14911013333333334,0.15386655440616934,845.7256406895999,140.1020580063775,0.7050164558735516,0.08527373333333332,
O-RING,Naive,2,2024-06-01,0.000997781753540039,ok,0.1477204666666667,0.17952048196641332,93.38747276106409,183.50242210936847,0.6955978698763201,-0.13807513333333332,
O-RING,Naive,3,2024-05-01,0.0009970664978027344,ok,0.11252296666666665,0.1340463228003787,544.021813077378,124.8008781743506,0.5271444502304339,0.10596436666666664,
O-RING,Naive,4,2024-04-01,0.000997781753540039,ok,0.05875896666666666,0.08571156237328775,343.8028409390499,61.48509754567234,0.2701182174075027,0.03912369999999999,
O-RING,Naive,5,2024-03-01,0.0009970664978027344,ok,0.06817583333333332,0.07167163528260907,249.06380178043642,76.72597414788083,0.30849841956151125,-0.0022238333333333277,
O-RING,NeuralProphet,0,2024-08-01,67.72759675979614,ok,0.1750268889754454,0.17795930287407236,679.739641189433,151.05299494863908,0.8297754083413914,0.031645933638079965,0.0
O-RING,NeuralProphet,1,2024-07-01,79.97234082221985,ok,0.18556465013599396,0.18560455310419835,958.591634538277,159.35297698921875,0.877379216621276,0.06461071477222442,0.0
O-RING,NeuralProphet,2,2024-06-01,73.65477561950684,ok,0.1649369158695221,0.16932113809189966,69.81765413991903,138.5816960154439,0.7766680537348879,-0.05176998757820129,0.0
O-RING,NeuralProphet,3,2024-05-01,66.08383107185364,ok,0.17610268704474766,0.1904057206759846,795.1152660391007,142.78262443491184,0.8250009477736753,0.12692149523166021,0.0
O-RING,NeuralProphet,4,2024-04-01,63.548757553100586,ok,0.14454823359247845,0.16642088159965554,609.8139878664017,88.88931924796276,0.6644962190860558,0.11269722635828654,0.6666666666666666
O-RING,NeuralProphet,5,2024-03-01,65.29013442993164,ok,0.18786939475631717,0.19611091040281353,672.0915169042287,101.28255138291486,0.8501166547232257,0.18786939475631717,0.3333333333333333
O-RING,TCN,0,2024-08-01,21.216132640838623,ok,0.10800434543192716,0.12778368949654767,284.9012109817032,123.69296496114859,0.5120318961162292,-0.028339665871488184,1.0
O-RING,TCN,1,2024-07-01,21.28727436065674,ok,0.10130041387360321,0.11871370307372221,292.3361107290757,149.21569912132338,0.47896448867118147,-0.02449065817038795,1.0
O-RING,TCN,2,2024-06-01,19.613021850585938,ok,0.12878290355848004,0.13560133498399837,65.69903302902848,131.91708612608372,0.6064231681173018,-0.0726128516070307,1.0
O-RING,TCN,3,2024-05-01,26.35635471343994,ok,0.07957912146635533,0.08148072442715801,218.17091434897148,134.65322520392758,0.37281004472156176,0.015355287048232817,1.0
O-RING,TCN,4,2024-04-01,35.65257716178894,ok,0.09896947608973573,0.10157352034067521,202.79800214893004,111.7672257622915,0.4549681516826177,-0.052806641644959296,1.0
O-RING,TCN,5,2024-03-01,35.82489609718323,ok,0.09236232303880891,0.09642318685416021,167.5988813529686,110.93561425534755,0.4179432695041348,-0.05686227286501202,1.0
RING SEAL,ARIMA,0,2024-08-01,0.1697828769683838,ok,1.6896890191508467,2.097339277721724,20.49256102283078,23.036178093122352,0.448299015621465,-1.191152604119206,1.0
RING SEAL,ARIMA,1,2024-07-01,0.17118120193481445,ok,1.4088393640841457,1.6484414178134268,31.346138939189704,25.371021318842953,0.3566991908495525,0.9825995255857704,1.0
RING SEAL,ARIMA,2,2024-06-01,0.1424427032470703,ok,1.3995037212482515,1.6706811298229216,31.92001422661781,25.44607918096718,0.34646677755787747,1.3995037212482515,1.0
RING SEAL,ARIMA,3,2024-05-01,0.1534137725830078,ok,2.7693356607497264,3.0776983980864774,82.56566798924081,52.81448457559118,0.6224813145605468,2.7693356607497264,1.0
